[DEBUG] [2021-07-02 16:51:31] AbstractEnvironment.setActiveProfiles(296) | Activating profiles []
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration'
[DEBUG] [2021-07-02 16:51:31] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'errorPageCustomizer'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration'
[DEBUG] [2021-07-02 16:51:31] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'dispatcherServletRegistration'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletRegistrationConfiguration'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'dispatcherServlet'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletConfiguration'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
[DEBUG] [2021-07-02 16:51:31] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'dispatcherServlet' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
[DEBUG] [2021-07-02 16:51:31] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'dispatcherServlet'
[DEBUG] [2021-07-02 16:51:31] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'dispatcherServletRegistration' via factory method to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'multipartConfigElement'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration'
[DEBUG] [2021-07-02 16:51:31] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
[DEBUG] [2021-07-02 16:51:31] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration' via constructor to bean named 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
[DEBUG] [2021-07-02 16:51:31] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'errorPageCustomizer' via factory method to bean named 'dispatcherServletRegistration'
[DEBUG] [2021-07-02 16:51:31] DocumentRoot.getArchiveFileDocumentRoot(81) | Code archive: /home/fisco/.gradle/caches/modules-2/files-2.1/org.springframework.boot/spring-boot/2.5.1/eb046cc9d226cb8ab131283c526d132ba71ed39c/spring-boot-2.5.1.jar
[DEBUG] [2021-07-02 16:51:31] DocumentRoot.getExplodedWarFileDocumentRoot(125) | Code archive: /home/fisco/.gradle/caches/modules-2/files-2.1/org.springframework.boot/spring-boot/2.5.1/eb046cc9d226cb8ab131283c526d132ba71ed39c/spring-boot-2.5.1.jar
[DEBUG] [2021-07-02 16:51:31] DocumentRoot.logNoDocumentRoots(149) | None of the document roots [src/main/webapp, public, static] point to a directory and will be ignored.
[INFO] [2021-07-02 16:51:31] TomcatWebServer.initialize(108) | Tomcat initialized with port(s): 8080 (http)
[DEBUG] [2021-07-02 16:51:32] ServletWebServerApplicationContext.prepareWebApplicationContext(284) | Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
[INFO] [2021-07-02 16:51:32] ServletWebServerApplicationContext.prepareWebApplicationContext(290) | Root WebApplicationContext: initialization completed in 785 ms
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'requestContextFilter'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'formContentFilter'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'characterEncodingFilter'
[DEBUG] [2021-07-02 16:51:32] ServletContextInitializerBeans.logMappings(236) | Mapping filters: characterEncodingFilter urls=[/*] order=-2147483648, formContentFilter urls=[/*] order=-9900, requestContextFilter urls=[/*] order=-105
[DEBUG] [2021-07-02 16:51:32] ServletContextInitializerBeans.logMappings(236) | Mapping servlets: dispatcherServlet urls=[/]
[DEBUG] [2021-07-02 16:51:32] GenericFilterBean.init(242) | Filter 'requestContextFilter' configured for use
[DEBUG] [2021-07-02 16:51:32] GenericFilterBean.init(242) | Filter 'characterEncodingFilter' configured for use
[DEBUG] [2021-07-02 16:51:32] GenericFilterBean.init(242) | Filter 'formContentFilter' configured for use
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'demoApplication'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'applicationContextUtil'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'contractClient'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'chainController'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'ChainService'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'queryController'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'QueryService'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'userController'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'UserService'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrar.methodValidationExcludeFilter'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.task.TaskExecutionAutoConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'taskExecutorBuilder'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'taskExecutorBuilder' via factory method to bean named 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'error'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'beanNameViewResolver'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration' via constructor to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@247d8ae'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration' via constructor to bean named 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'conventionErrorViewResolver'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'errorAttributes'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'basicErrorController'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'basicErrorController' via factory method to bean named 'errorAttributes'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@1e13529a'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@1e13529a'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'requestMappingHandlerAdapter'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'mvcContentNegotiationManager'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'mvcConversionService'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'mvcValidator'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcContentNegotiationManager'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcConversionService'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcValidator'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcContentNegotiationManager'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcConversionService'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcValidator'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'messageConverters'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.HttpMessageConvertersAutoConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'stringHttpMessageConverter'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.HttpMessageConvertersAutoConfiguration$StringHttpMessageConverterConfiguration'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'stringHttpMessageConverter' via factory method to bean named 'environment'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'mappingJackson2HttpMessageConverter'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.JacksonHttpMessageConvertersConfiguration$MappingJackson2HttpMessageConverterConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'jacksonObjectMapper'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'standardJacksonObjectMapperBuilderCustomizer'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration'
[DEBUG] [2021-07-02 16:51:32] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties'
[DEBUG] [2021-07-02 16:51:32] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'standardJacksonObjectMapperBuilderCustomizer' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@247d8ae'
